bin;r_bin_means;q_bin_means;rel_amountFactor;r_bin_border_low;r_bin_border_up;distribution;par1;par2
1;2.56196836872753;0.168419104845233;0.164240661024459;0.717192989747843;3.53086501041943;lognormal;1.51491765568799;0.5977958238845
2;4.71185037367661;0.523452717498672;0.141388596846511;3.53086501041943;6.34453703109102;;;
3;7.44556429418359;0.795085841228286;0.0638192552023551;6.34453703109102;9.1582090517626;;;
4;10.2600134036249;0.913173452649726;0.0257776596964879;9.1582090517626;11.9718810724342;;;
5;13.0890283606208;0.961463070523309;0.0106842790050218;11.9718810724342;14.7855530931058;;;
6;15.9202395023593;0.981936152752506;0.00466551387087403;14.7855530931058;17.5992251137774;;;
7;18.7506368453276;0.991087186320285;0.00215005278053339;17.5992251137774;20.4128971344489;;;
8;21.5795028751266;0.995396592268129;0.00104127711481363;20.4128971344489;23.2265691551205;;;
9;24.406777741644;0.99752468762911;0.000527170170048982;23.2265691551205;26.0402411757921;;;
10;27.2325935860803;0.99862097537719;0.000277596029909759;26.0402411757921;28.8539131964637;;;
